image,mode,entropy,corr_horizontal,corr_vertical,corr_diagonal,npcr,uaci
architecture,ECB,7.965927149149354,-0.006053500925437591,0.06583987736718243,-0.00993260836532695,0.0030517578125,0.00012566061580882352
bridge,ECB,7.83639978155479,0.0063980756855026594,0.26641898853657153,-0.004336759690082534,0.0030517578125,0.00014361213235294118
cactus,ECB,7.724853328210689,-0.009974366978337923,0.2998390796806037,0.0003209815761698791,0.0030517578125,0.0008856081495098039
city,ECB,7.675829312243213,-0.05726186954728545,0.40415263868704177,-0.04153016516126181,0.0030517578125,0.0008975758272058823
desert,ECB,7.635180831912362,0.0705459152938864,0.3905605074457584,0.057920543428005275,0.0030517578125,0.0008556889552696078
forest,ECB,7.92024561087785,0.024360480592227507,0.1322251664722413,0.015804980617015265,0.0030517578125,0.0006103515625
harbor,ECB,7.821794550015964,-0.05127538660857683,0.20320187306366969,-0.03487750516291813,0.0030517578125,0.0001136929381127451
mountain,ECB,7.974179554374283,0.0015055927368510396,0.07481918377268193,0.005445385570118546,0.0030517578125,0.0008856081495098039
texture,ECB,7.888803506868926,0.010457689914493912,0.20892563363108685,0.01778487977466494,0.0030517578125,0.0007958505667892157
wildlife,ECB,7.9464241504443365,0.006502513302861245,0.04079059916807454,-0.003579968860233739,0.0030517578125,0.0007898667279411765
architecture,CBC,7.997204148670191,0.004109053791270291,-0.0007766630779067583,0.006349059397816468,46.99249267578125,8.864662320006127
bridge,CBC,7.9974238687602455,0.0025848163885275497,0.0004755029305982954,0.0021473494516564425,46.87042236328125,8.906818464690565
cactus,CBC,7.997377347933948,-0.002168251755690306,0.00014546793533223493,0.0013252315000664933,46.85516357421875,8.844933603324142
city,CBC,7.99693011265128,0.0020745518370912388,0.0027836196522003248,0.00535539982084195,46.8414306640625,8.867755964690565
desert,CBC,7.997243107326323,-0.006537805937088741,0.004505601816914728,0.002552749973939434,46.81243896484375,8.79431032666973
forest,CBC,7.996836225648474,-0.000923593541523737,-0.0039169361751954694,-0.003386639777642531,46.90399169921875,8.879735610064339
harbor,CBC,7.997484183564994,-0.001639911382221749,-0.008406810542419617,0.0005222356779614958,46.81243896484375,8.87451171875
mountain,CBC,7.997172737573393,-0.0027959586249805515,0.005589511807010495,-0.0035308093397761198,46.86431884765625,8.851659438189339
texture,CBC,7.997268271185777,0.002845889196839532,0.0008505693314766506,0.003013998244506859,46.81549072265625,8.828878963694853
wildlife,CBC,7.9970605269274095,0.0021190154414788185,-0.0015057364959653406,-0.004994668622445958,47.088623046875,8.911940630744486
architecture,CFB,7.996830340043923,-0.004698844495699946,0.0004494970760959249,-0.002982939816277342,46.86431884765625,8.77492867264093
bridge,CFB,7.997142974491534,0.009149682754995904,-0.006962653799514611,-0.008330035727329078,46.93450927734375,8.901774088541666
cactus,CFB,7.996936771929022,-0.0030981890177049633,-0.006960701376904192,-0.003309688129118849,47.08404541015625,8.915028291590074
city,CFB,7.997143307809499,0.008092952232651895,0.003909768962085638,0.005716741593044636,46.9512939453125,8.827281278722426
desert,CFB,7.996836072166557,-0.0005431936783081758,-0.0025935333125907288,-0.007441407613375667,46.954345703125,8.774449965533089
forest,CFB,7.9972059886726665,0.003336398990354718,0.004322796929451709,0.0009622944707515537,46.94366455078125,8.844831878063726
harbor,CFB,7.997479036928912,0.0066396116482698424,-0.005170507820422108,-0.0038859841129289347,46.80328369140625,8.887442794500613
mountain,CFB,7.996899231535436,-0.005254772786002823,-0.006258523038068261,-0.00193228444502633,46.87042236328125,8.845819211473652
texture,CFB,7.997112782290987,0.0019534145405411215,-0.002891237270823007,-0.0013992908696977872,46.868896484375,8.816103467754289
wildlife,CFB,7.997161091261941,0.004839707637799707,-0.003549743261884794,-0.0018913063865154396,46.83380126953125,8.855728448606005
architecture,OFB,7.991995700516742,-0.0020327408450811517,0.05707456001040822,1.915746534586806e-06,0.00152587890625,5.983838848039216e-06
bridge,OFB,7.987336626024111,-0.0032331898562861596,0.061541832591680244,-0.004974511349536681,0.00152587890625,5.983838848039216e-06
cactus,OFB,7.982283852554153,-0.004079773058374586,0.05538110579768344,-0.004597293847368967,0.00152587890625,2.9919194240196077e-05
city,OFB,7.994830757379241,-0.005312931551279973,0.06261425826485557,-0.003545965289600474,0.00152587890625,5.983838848039216e-06
desert,OFB,7.987680698485956,-0.0016035859096462505,0.06400523779027453,-0.00349630230550826,0.00152587890625,5.983838848039216e-06
forest,OFB,7.993546732324525,-0.004986543250670078,0.061377540443051784,-0.0019409173081283452,0.00152587890625,5.983838848039216e-06
harbor,OFB,7.992036268615112,-0.0027122720184184416,0.059385989944121094,0.001107461586034324,0.00152587890625,5.983838848039216e-06
mountain,OFB,7.995999965081591,-0.00432104084281095,0.062499983212955995,-0.0060035914854892295,0.00152587890625,2.9919194240196077e-05
texture,OFB,7.996290285354456,-0.0012372595313750352,0.07518852486338959,-0.0015764160964279674,0.00152587890625,2.9919194240196077e-05
wildlife,OFB,7.997041992732723,-0.005086290900197059,0.06252951000398795,-0.004396598662331098,0.00152587890625,5.983838848039216e-06
architecture,CTR,7.996356497920888,-0.0014907436166979337,0.45014260911691684,0.0024001701152209457,0.00152587890625,5.983838848039216e-06
bridge,CTR,7.9971052867334524,-0.0007800766579891535,0.48575857467627703,4.777831664375205e-05,0.00152587890625,5.983838848039216e-06
cactus,CTR,7.997608171669641,-0.0020174561055787076,0.4379706142950645,0.0011754391830662053,0.00152587890625,4.188687193627451e-05
city,CTR,7.997276540688639,0.0001761589353659662,0.5013085795633024,0.00018040238195667888,0.00152587890625,5.983838848039216e-06
desert,CTR,7.997647537400342,-0.0012524248539054691,0.46042723915916167,-0.0001224201945826015,0.00152587890625,5.983838848039216e-06
forest,CTR,7.997122019014139,0.002310434863204573,0.43523130945057326,0.0036733397041205586,0.00152587890625,5.983838848039216e-06
harbor,CTR,7.997290740076876,0.0014831734593893854,0.456533710002718,-0.0017894092677198023,0.00152587890625,5.983838848039216e-06
mountain,CTR,7.996891948271722,-0.0003831912369212007,0.4178098113896404,-0.0017997385270808735,0.00152587890625,4.188687193627451e-05
texture,CTR,7.996885118330168,0.0003510223810793779,0.4529998994483415,0.0037869379086456784,0.00152587890625,4.188687193627451e-05
wildlife,CTR,7.997098542708544,-0.0038706310622085385,0.46209839069505937,-0.002870782814311078,0.00152587890625,5.983838848039216e-06
